id,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,is_anomaly
K03158.02,4.54586982,1.756,76.5,0.65,868.0,134.21,24.4,5051.0,4.562,0
K02066.01,147.97391,6.854,1267.1,3.33,329.0,2.78,26.4,5578.0,4.44,0
K01779.02,11.8150174,2.834,1003.0,3.48,762.0,79.66,10.5,5729.0,4.514,0
K03681.02,10.51421162,3.877,85.4,1.25,943.0,187.06,21.6,6259.0,4.385,0
K03039.01,20.3504704,7.225,101.8,1.01,695.0,55.07,16.6,5952.0,4.41,0
K04745.01,177.668663,9.298,901.4,2.32,233.0,0.7,12.7,4721.0,4.615,0
K01650.02,100.8276725,8.39,1778.8,4.35,364.0,4.16,36.7,5301.0,4.391,0
K00953.01,3.584101048,2.7316,2608.1,4.66,1131.0,386.66,166.3,5739.0,4.518,0
K00834.01,23.65369415,8.2183,3341.8,7.89,731.0,67.65,266.3,5739.0,4.191,0
K01975.01,7.56052209,3.8573,659.8,2.4,914.0,164.9,34.6,5895.0,4.503,0
K00349.01,14.38682567,2.1417,569.6,2.54,776.0,85.46,61.7,5725.0,4.353,0
K05708.01,7.863361238,3.42771,18156.7,22.7,1057.0,294.86,723.3,5615.0,4.136,1
K00406.01,49.26678528,5.5692,8494.0,929.36,538.0,19.79,309.0,5988.0,4.382,1
K01952.03,5.19559398,3.748,116.0,1.18,1085.0,327.78,16.0,5616.0,4.327,0
K04068.01,19.597317,4.508,1014.1,3.78,671.0,47.9,23.7,5569.0,4.368,0
K06893.01,3.326193904,2.08375,178470.0,14.72,521.0,17.41,502.0,3520.0,4.906,1
K00063.01,9.43414171,2.8112,3977.0,5.73,791.0,92.39,40.2,5578.0,4.518,0
K03214.01,11.49500229,7.602,51.4,1.53,1105.0,351.79,22.9,6033.0,3.985,0
K02264.01,33.2407985,4.675,341.9,1.51,486.0,13.17,20.4,5382.0,4.571,0
K01207.01,13.73474071,2.769,746.4,2.71,634.0,38.11,31.0,5196.0,4.524,0
K04097.01,2.790643481,0.6871,202.0,0.99,816.0,104.74,20.2,4353.0,4.681,0
K02013.01,2.41434868,1.2701,191.0,0.97,953.0,195.08,30.0,4507.0,4.573,0
K01127.01,5.32667299,3.4045,611.4,2.26,1007.0,242.97,34.1,5831.0,4.517,0
K01221.01,30.1599411,7.874,175.9,4.54,836.0,115.69,32.3,5010.0,3.62,0
K04199.01,0.539915033,1.1466,97.0,0.82,1871.0,2901.68,17.6,5102.0,4.502,0
K03432.01,48.0506878,7.999,274.5,2.36,564.0,23.9,15.1,5332.0,4.083,0
K01128.01,0.974868896,1.6191,197.6,1.16,1612.0,1605.87,82.6,5487.0,4.563,0
K00330.02,1.88899036,3.486,59.0,0.83,1574.0,1449.92,18.2,5973.0,4.386,0
K02205.01,24.08632177,2.236,1041.7,2.78,500.0,14.78,18.0,4973.0,4.537,0
K02659.01,89.465468,9.88,67.9,2.57,549.0,21.43,5.7,5192.0,3.773,1
K03066.01,24.2204192,3.271,806.3,2.1,505.0,15.43,14.0,5165.0,4.599,0
K00297.01,5.65178922,3.0933,134.1,2.03,1248.0,574.71,39.5,6085.0,4.218,0
K01909.01,12.75800092,4.1828,187.9,1.49,822.0,107.96,41.7,5782.0,4.34,0
K06186.01,5.34264143,2.453,691.3,1.72,799.0,96.47,19.9,5101.0,4.63,0
K01426.02,74.92768653,4.74,4119.2,6.39,409.0,6.62,161.5,5618.0,4.46,0
K04625.01,2.440839436,0.968,509.5,21.29,986.0,223.8,14.4,4803.0,4.623,0
K03728.01,5.546083089,2.717,2211.0,22.27,2336.0,7027.09,56.4,7358.0,3.538,0
K02838.01,7.69994466,4.432,70.9,0.92,969.0,208.61,17.4,5727.0,4.328,0
K01849.01,8.08801663,1.8334,952.9,2.94,792.0,92.93,46.1,5269.0,4.494,0
K01824.02,1.6783263,2.5123,146.3,1.57,1659.0,1797.15,76.1,6015.0,4.37,0
K03791.01,440.7843755,21.693,2579.0,7.23,308.0,2.14,181.0,6340.0,4.163,0
K00172.02,242.467406,12.808,340.3,1.73,286.0,1.59,23.2,5637.0,4.399,0
K03424.01,17.081202417,7.20617,134143.0,39.24,585.0,27.61,1524.8,5431.0,4.623,1
K00601.01,5.40426917,2.5315,860.6,2.85,1073.0,312.93,40.5,6122.0,4.487,0
K03482.01,15.3317719,5.467,179.2,1.91,821.0,107.44,13.3,5726.0,4.228,0
K00758.01,16.01308419,3.2554,1121.9,3.1,593.0,29.31,33.2,5015.0,4.499,0
K02055.01,8.67890312,3.5317,540.6,2.56,905.0,158.43,37.4,5509.0,4.308,0
K01202.01,0.928310036,1.1899,376.2,1.16,1115.0,365.72,22.6,4109.0,4.672,0
K01576.01,10.41572666,2.7719,825.3,3.01,797.0,95.64,69.3,5511.0,4.426,0
K02289.01,62.7843981,4.81,325.0,2.28,530.0,18.7,21.1,6053.0,4.279,0
K02086.03,11.8984948,3.015,130.9,1.69,929.0,176.27,15.9,5862.0,4.194,0
K05900.02,0.687739345,0.1866,37.6,1.53,2837.0,15318.29,11.0,6823.0,4.212,1
K01159.01,64.617518,5.796,2486.6,5.4,383.0,5.09,61.9,5043.0,4.47,0
K00128.01,4.942783419,3.25346,11144.7,10.62,1008.0,244.42,2040.7,5514.0,4.459,0
K01591.01,19.65639342,3.226,843.2,2.83,549.0,21.5,25.5,5288.0,4.613,0
K01475.03,4.72941177,2.234,434.3,1.22,669.0,47.3,14.6,4224.0,4.662,0
K00671.03,16.25951967,3.854,129.5,1.72,880.0,142.1,19.6,5966.0,4.169,0
K01850.01,11.55103848,3.3601,402.8,2.17,845.0,120.76,49.8,5907.0,4.395,0
K01060.04,8.19345065,5.234,115.4,1.74,1144.0,405.75,15.7,6021.0,4.093,0
K02417.01,47.7052566,5.959,1161.5,2.89,347.0,3.42,22.8,4551.0,4.609,0
K02585.02,10.42317343,2.341,71.2,1.07,901.0,155.7,11.2,5767.0,4.287,0
K01437.01,7.01733571,3.567,255.5,1.61,984.0,221.46,15.5,6052.0,4.456,0
K00194.01,3.120828136,2.1878,16456.0,14.16,1303.0,680.79,113.5,6122.0,4.471,0
K04320.01,20.6579443,8.798,98.2,1.27,728.0,66.27,14.1,5468.0,4.171,0
K03145.01,4.53702121,1.813,504.4,1.66,798.0,95.61,15.7,4805.0,4.633,0
K04301.01,15.604841,4.543,73.4,1.57,1013.0,248.62,15.3,6254.0,4.019,0
K00949.01,12.53248222,4.0168,1145.9,3.24,775.0,85.15,66.7,5997.0,4.522,0
K00984.01,4.28746668,1.5693,790.1,2.29,942.0,186.31,19.4,5296.0,4.576,0
K01721.01,52.6298542,6.118,675.8,3.68,544.0,20.65,27.2,5339.0,4.096,0
K02865.01,1.311558909,1.919,141.3,1.15,1655.0,1776.99,17.2,5926.0,4.501,0
K01960.01,8.96847034,4.4073,234.3,2.17,1024.0,259.95,38.2,5808.0,4.185,0
K02374.01,5.26211833,3.244,194.5,1.95,1166.0,436.61,20.3,5587.0,4.188,0
K03097.02,6.80257947,4.608,32.7,0.73,1026.0,262.26,14.7,6006.0,4.403,0
K01627.01,10.29674097,2.7292,1011.8,5.75,1129.0,384.86,31.3,6068.0,4.04,0
K01925.01,68.958447,3.128,123.3,1.11,402.0,6.17,30.0,5455.0,4.497,0
K02535.01,48.8882668,6.468,462.8,2.96,386.0,5.23,13.5,4821.0,4.529,0
K01950.01,66.4159789,7.061,2053.2,3.44,376.0,4.71,33.6,5383.0,4.603,0
K01835.02,2.248288213,2.0361,263.2,1.25,1127.0,380.75,59.7,5103.0,4.558,0
K00433.02,328.240201,12.2726,13888.6,10.99,224.0,0.59,287.6,5234.0,4.542,0
K02011.02,17.2653659,5.02,67.9,1.16,888.0,146.92,13.9,6388.0,4.244,0
K00934.01,5.826657508,2.9183,1539.1,4.09,1013.0,248.57,81.1,5561.0,4.362,0
K00650.01,11.95474513,2.1433,903.4,5.15,906.0,159.04,96.3,5059.0,3.976,0
K02956.01,3.93766786,4.655,24.3,1.36,1947.0,3388.82,16.8,6277.0,3.728,0
K02092.02,25.5638626,4.685,1124.9,4.0,671.0,47.94,31.6,6228.0,4.441,0
K02886.01,0.88184263,1.3117,249.9,1.24,1564.0,1419.46,21.2,5268.0,4.594,0
K00084.01,9.286964466,3.3649,691.7,2.1,762.0,79.68,251.9,5546.0,4.575,0
K00070.04,6.09855603,2.9815,84.4,0.84,927.0,174.3,24.8,5465.0,4.449,0
K07594.01,2.08802799,24.017,70.8,1.93,2003.0,3806.17,60.5,6593.0,4.117,1
K01916.01,20.67876365,4.6395,323.9,2.42,749.0,74.36,42.6,5865.0,4.266,0
K00952.04,2.896005211,1.6776,614.1,1.23,652.0,42.53,28.6,3731.0,4.75,0
K02219.01,3.757294695,0.9269,273.3,1.23,877.0,139.89,23.4,4901.0,4.618,0
K01930.01,13.72710334,7.3419,199.2,2.38,1005.0,241.58,62.5,5951.0,4.017,0
K05265.01,425.22927,6.76,829.0,1.4,125.0,0.06,6.4,3803.0,4.755,1
K02062.01,34.3511339,4.4408,599.4,2.75,576.0,26.1,28.8,6091.0,4.487,0
K02994.01,2.03387483,3.097,73.6,1.6,1789.0,2422.92,15.7,5282.0,3.913,0
K02483.01,15.0539886,4.422,221.5,1.44,665.0,46.3,16.3,5475.0,4.479,0
K07276.01,2.071939672,4.45367,198766.0,75.64,1696.0,1953.33,2409.8,6140.0,4.247,1
K02536.01,51.1319346,6.019,382.3,2.43,542.0,20.36,19.6,6071.0,4.353,0
K01905.01,7.62635494,2.4168,296.1,1.21,703.0,57.89,32.5,4955.0,4.61,0
K01984.01,22.06402,4.1,388.7,2.67,712.0,60.81,31.5,6232.0,4.432,0
K01520.01,18.45848388,3.3703,535.3,2.5,632.0,37.81,41.5,5311.0,4.419,0
K00284.04,110.2867031,4.427,145.3,1.41,414.0,6.96,16.4,5931.0,4.322,0
K01930.03,44.4304059,10.306,238.5,2.61,680.0,50.42,50.5,5951.0,4.017,0
K00094.03,54.31996151,8.5858,1975.0,6.07,584.0,27.4,291.3,6181.0,4.234,0
K02524.01,40.9905002,7.336,297.3,2.41,627.0,36.5,15.4,5842.0,4.17,0
K00847.01,80.8723469,11.195,3604.6,7.59,452.0,9.88,160.9,5510.0,4.222,0
K03146.01,39.859505,7.987,155.5,1.62,597.0,29.97,13.9,5675.0,4.209,0
K00157.04,46.6856205,6.3794,588.8,2.52,513.0,16.41,59.0,5657.0,4.364,0
K00316.03,7.305706326,1.4228,264.9,2.11,972.0,210.72,43.6,5620.0,4.333,0
K00702.01,1.274840187,14.833,229.2,66.76,2498.0,9187.9,79.3,5365.0,3.669,1
K02344.01,1.118547814,1.5534,234.8,0.98,1174.0,447.97,21.7,4496.0,4.65,0
K00624.02,49.5674085,4.002,730.0,2.91,465.0,11.09,31.2,5569.0,4.474,0
K02699.01,0.568874717,1.2177,378.4,1.49,1796.0,2473.19,50.4,5223.0,4.593,0
K03496.01,23.2385587,8.432,161.2,2.18,903.0,157.09,15.5,6602.0,4.108,0
K00956.01,8.360870704,2.7144,2039.7,3.67,690.0,53.68,120.9,4743.0,4.516,0
K00907.04,99.6415962,4.448,952.5,2.64,360.0,3.97,22.7,5527.0,4.488,0
K02029.01,16.33269981,2.174,300.4,1.61,591.0,28.76,17.5,5208.0,4.563,0
K00464.01,58.36205791,6.3363,5374.7,7.02,446.0,9.33,286.6,5592.0,4.467,0
K04032.02,2.89223998,2.521,44.3,0.7,1287.0,647.55,17.3,5574.0,4.354,0
K03138.02,19.5352551,1.013,1732.0,0.53,161.0,0.16,5.9,2703.0,5.274,0
K07229.01,19.230038188,7.04412,266180.0,186.53,1361.0,810.65,7232.1,7703.0,3.844,1
