id,s2,s3,s4,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21,is_anomaly
engine001_cyc001,641.82,1589.7,1400.6,554.36,2388.06,9046.19,47.47,521.66,2388.02,8138.62,8.4195,392.0,39.06,23.419,0
engine002_cyc001,641.89,1583.84,1391.28,554.53,2388.01,9054.72,46.93,522.33,2388.06,8137.72,8.3905,391.0,38.94,23.4585,0
engine002_cyc002,641.82,1587.05,1393.13,554.77,2387.98,9051.31,47.24,522.7,2387.98,8131.09,8.4167,392.0,39.06,23.4085,0
engine002_cyc003,641.55,1588.32,1398.96,555.14,2388.04,9054.24,47.22,522.58,2387.99,8140.58,8.3802,391.0,39.11,23.425,0
engine003_cyc001,642.04,1584.2,1398.13,553.96,2388.06,9056.95,47.14,522.24,2388.0,8138.4,8.4207,391.0,38.96,23.3205,0
engine003_cyc002,642.66,1587.04,1398.62,554.76,2388.05,9059.67,47.35,522.03,2388.01,8137.38,8.3949,390.0,39.07,23.4369,0
engine004_cyc002,642.45,1583.54,1410.36,554.62,2388.06,9048.41,47.35,521.7,2388.04,8129.53,8.3999,391.0,39.02,23.4437,0
engine004_cyc003,642.16,1586.59,1398.65,553.52,2388.08,9052.57,47.4,521.35,2388.09,8131.24,8.415,391.0,38.96,23.3314,0
engine005_cyc001,641.77,1583.59,1395.26,554.39,2387.98,9066.49,47.19,522.34,2388.0,8152.22,8.4102,393.0,38.98,23.4468,0
engine005_cyc003,642.07,1582.45,1396.29,554.49,2388.01,9068.21,47.11,522.85,2388.02,8148.42,8.399,393.0,39.18,23.3298,0
engine006_cyc001,642.73,1584.4,1412.34,552.99,2388.12,9037.26,47.56,521.69,2388.12,8116.86,8.4286,394.0,38.94,23.3086,0
engine006_cyc002,642.07,1590.38,1401.1,553.02,2388.09,9045.95,47.65,521.03,2388.07,8126.01,8.4343,393.0,38.89,23.2645,0
engine006_cyc003,642.57,1588.18,1405.86,552.76,2388.13,9044.75,47.49,521.68,2388.11,8125.49,8.4072,392.0,38.79,23.2163,0
engine007_cyc001,642.38,1589.49,1395.48,554.76,2387.97,9071.27,47.24,522.19,2387.99,8141.69,8.4081,390.0,38.97,23.4073,0
engine007_cyc002,642.57,1583.11,1395.97,553.97,2388.0,9078.21,47.0,522.3,2388.02,8148.24,8.4216,391.0,38.85,23.5043,0
engine007_cyc003,642.25,1589.44,1397.74,554.95,2387.95,9063.37,47.18,522.36,2387.98,8148.83,8.4258,392.0,39.07,23.4113,0
engine008_cyc002,642.92,1585.97,1410.81,552.74,2388.11,9040.66,47.62,521.82,2388.13,8120.18,8.4209,392.0,38.9,23.2926,0
engine008_cyc003,642.74,1591.11,1403.29,552.79,2388.11,9045.01,47.51,521.52,2388.12,8122.29,8.4497,393.0,38.88,23.1812,0
engine009_cyc002,641.91,1580.17,1394.7,554.85,2387.94,9063.39,47.12,523.03,2387.98,8148.23,8.4331,392.0,38.97,23.4335,0
engine009_cyc003,642.5,1587.57,1396.79,554.75,2388.03,9057.58,47.12,522.63,2388.05,8140.94,8.4028,391.0,39.09,23.4296,0
engine010_cyc002,642.22,1586.81,1392.03,554.76,2388.06,9057.03,47.2,523.04,2388.04,8142.57,8.3868,390.0,39.05,23.3106,0
engine010_cyc003,642.16,1581.06,1395.51,554.42,2388.01,9047.45,47.19,522.22,2387.97,8136.85,8.4422,392.0,39.01,23.5053,0
engine011_cyc002,641.81,1585.63,1389.78,554.63,2388.01,9058.18,47.18,522.33,2388.04,8138.28,8.3643,391.0,39.12,23.4647,0
engine011_cyc003,642.05,1587.83,1392.21,554.48,2388.01,9046.18,47.46,522.31,2388.03,8137.34,8.3758,392.0,39.16,23.3271,0
engine012_cyc002,642.43,1592.56,1406.54,553.17,2388.11,9042.55,47.5,521.81,2388.12,8125.37,8.4005,393.0,38.95,23.3202,0
engine012_cyc003,642.35,1587.14,1403.33,553.6,2388.1,9033.93,47.44,521.48,2388.11,8128.94,8.4089,393.0,38.79,23.2922,0
engine013_cyc001,641.94,1594.32,1405.5,554.14,2388.07,9051.55,47.46,520.87,2388.11,8131.99,8.4393,392.0,38.76,23.3793,0
engine013_cyc002,642.61,1592.31,1406.78,553.08,2388.11,9053.39,47.5,521.45,2388.08,8135.24,8.4325,393.0,38.97,23.2731,0
engine014_cyc002,642.88,1590.81,1411.67,553.85,2388.11,9055.07,47.43,521.44,2388.07,8141.56,8.4449,393.0,38.91,23.3892,0
engine016_cyc001,642.9,1583.42,1411.32,552.96,2388.11,9056.38,47.41,520.82,2388.11,8136.24,8.4573,392.0,38.84,23.2792,0
engine016_cyc002,642.43,1593.21,1399.44,553.49,2388.15,9054.6,47.56,521.27,2388.11,8134.39,8.4102,393.0,38.96,23.3185,0
engine016_cyc003,642.57,1592.17,1411.88,552.92,2388.14,9054.7,47.57,521.3,2388.11,8139.92,8.4546,393.0,38.58,23.3094,0
engine017_cyc001,641.45,1587.52,1401.29,555.25,2388.03,9067.87,47.25,522.19,2387.98,8146.09,8.3859,392.0,39.21,23.5279,0
engine017_cyc002,642.13,1589.83,1399.55,554.3,2388.06,9062.08,47.34,522.07,2387.95,8139.76,8.4125,389.0,39.17,23.4691,0
engine017_cyc003,642.1,1587.43,1400.98,555.27,2388.02,9061.96,47.15,522.68,2387.99,8143.07,8.4146,391.0,39.17,23.3437,0
engine018_cyc001,642.49,1582.95,1401.6,554.59,2387.95,9061.3,47.19,521.41,2387.99,8142.8,8.3861,393.0,39.06,23.4234,0
engine018_cyc002,642.21,1589.39,1397.98,554.17,2388.01,9060.63,47.29,522.5,2388.01,8137.05,8.3788,391.0,39.04,23.5772,0
engine020_cyc001,643.0,1589.87,1404.3,553.44,2388.1,9063.7,47.56,521.93,2388.02,8136.61,8.4498,391.0,38.88,23.2767,0
engine020_cyc002,642.72,1588.75,1406.6,553.77,2388.13,9055.4,47.67,520.66,2388.06,8136.47,8.4217,393.0,38.79,23.2626,0
engine020_cyc003,642.9,1587.31,1404.3,552.91,2388.05,9055.83,47.49,521.14,2388.07,8136.89,8.4432,391.0,38.79,23.276,0
engine021_cyc002,642.27,1582.13,1404.54,553.22,2388.03,9043.88,47.25,521.39,2388.05,8120.15,8.3895,392.0,38.81,23.23,0
engine022_cyc001,642.68,1595.65,1408.51,553.04,2388.09,9048.21,47.46,521.07,2388.16,8127.45,8.4425,393.0,38.96,23.3081,0
engine022_cyc002,642.59,1590.88,1411.44,552.92,2388.16,9044.01,47.65,521.14,2388.15,8131.18,8.4395,393.0,38.71,23.4163,0
engine022_cyc003,642.41,1589.32,1410.07,552.67,2388.13,9056.46,47.49,520.81,2388.15,8125.89,8.4301,394.0,38.76,23.1676,0
engine024_cyc001,642.17,1587.9,1403.12,554.0,2388.07,9066.64,47.1,522.08,2388.0,8146.09,8.403,391.0,39.08,23.3594,0
engine024_cyc002,642.0,1583.5,1394.49,554.09,2387.96,9059.99,47.17,522.26,2388.03,8144.87,8.4018,392.0,38.93,23.5059,0
engine024_cyc003,642.43,1587.55,1399.37,554.49,2388.05,9068.46,47.37,522.32,2388.01,8141.34,8.4485,390.0,38.82,23.3265,0
engine025_cyc001,642.85,1586.83,1403.72,553.81,2388.1,9044.91,47.51,521.04,2388.15,8126.14,8.432,392.0,38.98,23.4472,0
engine026_cyc002,642.41,1589.84,1405.51,553.11,2388.13,9041.49,47.44,521.09,2388.14,8125.07,8.4626,392.0,38.76,23.2642,0
engine026_cyc003,642.63,1588.16,1408.81,553.31,2388.09,9042.25,47.62,521.64,2388.13,8124.61,8.4142,391.0,38.78,23.3072,0
engine027_cyc001,642.41,1592.81,1403.33,554.08,2388.08,9053.27,47.61,521.21,2388.06,8144.58,8.4088,391.0,38.74,23.3425,0
engine027_cyc002,642.6,1590.48,1404.96,554.39,2388.02,9062.24,47.4,521.95,2388.11,8138.82,8.4346,395.0,39.04,23.4075,0
engine027_cyc003,642.3,1581.71,1401.67,553.69,2388.07,9059.84,47.38,521.95,2388.07,8145.91,8.4253,391.0,38.75,23.2521,0
engine028_cyc001,642.14,1584.11,1392.44,554.84,2387.99,9068.32,47.14,522.67,2388.0,8145.82,8.3899,391.0,39.18,23.3642,0
engine028_cyc003,642.13,1583.81,1396.23,554.32,2388.01,9066.04,47.27,521.84,2387.99,8139.99,8.3898,391.0,39.1,23.5312,0
engine029_cyc001,642.85,1590.52,1408.46,554.41,2388.04,9055.13,47.4,521.92,2388.02,8143.8,8.4185,393.0,39.09,23.3381,0
engine029_cyc002,642.27,1592.43,1408.53,553.71,2388.03,9060.3,47.27,521.77,2388.05,8140.58,8.4272,392.0,38.84,23.335,0
engine029_cyc003,642.67,1587.06,1399.36,554.12,2388.11,9062.25,47.56,521.94,2388.08,8144.01,8.4103,393.0,38.81,23.3956,0
engine030_cyc001,642.18,1587.39,1392.46,554.09,2387.99,9065.62,47.07,522.61,2387.95,8148.76,8.4058,392.0,39.17,23.3801,0
engine030_cyc002,641.81,1588.45,1406.94,554.98,2388.03,9062.08,47.2,522.17,2387.98,8143.72,8.3837,392.0,39.34,23.5081,0
engine030_cyc003,641.73,1584.32,1396.01,553.94,2388.03,9063.92,47.24,522.61,2388.02,8145.33,8.4137,393.0,39.08,23.4344,0
engine031_cyc001,642.32,1582.38,1393.03,554.79,2388.05,9058.68,47.19,522.25,2387.99,8138.73,8.4135,392.0,39.02,23.4287,0
engine031_cyc002,642.49,1584.07,1394.01,554.15,2388.02,9059.34,47.31,522.46,2388.02,8140.24,8.3995,393.0,39.01,23.4805,0
engine031_cyc003,642.49,1585.07,1394.99,554.23,2388.0,9055.34,47.1,522.68,2388.01,8140.79,8.4159,391.0,39.05,23.3977,0
engine032_cyc001,643.03,1588.85,1405.9,553.38,2388.17,9047.84,47.68,521.08,2388.14,8124.43,8.4717,393.0,38.79,23.3229,0
engine032_cyc002,642.69,1587.64,1402.8,553.45,2388.09,9055.53,47.61,521.68,2388.15,8131.61,8.4412,394.0,38.79,23.371,0
engine032_cyc003,642.56,1590.75,1403.3,552.79,2388.1,9054.0,47.54,521.37,2388.12,8132.46,8.4176,394.0,38.87,23.3437,0
engine033_cyc001,642.24,1584.98,1396.83,554.03,2388.01,9057.65,47.21,522.49,2388.03,8145.03,8.3918,390.0,38.9,23.5107,0
engine033_cyc002,642.24,1584.36,1395.22,554.72,2388.04,9065.4,47.22,523.16,2387.99,8138.39,8.3998,391.0,38.96,23.2986,0
engine033_cyc003,642.09,1584.35,1397.91,554.19,2387.97,9066.69,47.16,521.7,2388.0,8142.27,8.3713,391.0,39.0,23.2993,0
engine034_cyc001,642.44,1586.84,1407.9,553.56,2388.07,9058.32,47.33,521.54,2388.07,8143.4,8.4248,392.0,38.76,23.242,0
engine034_cyc002,642.16,1585.43,1404.51,553.62,2388.12,9063.24,47.14,521.2,2387.99,8143.09,8.3995,394.0,38.8,23.2772,0
engine034_cyc003,642.87,1587.98,1403.07,554.76,2388.07,9059.4,47.36,521.65,2388.08,8138.5,8.4287,392.0,39.06,23.2365,0
engine035_cyc001,642.25,1589.5,1401.87,553.94,2388.06,9061.4,47.45,521.22,2388.05,8138.2,8.4282,392.0,38.83,23.3682,0
engine035_cyc002,642.49,1589.83,1406.99,553.99,2388.05,9059.03,47.33,521.51,2388.06,8137.11,8.4087,393.0,38.77,23.3206,0
engine035_cyc003,642.53,1589.32,1400.83,553.5,2388.05,9052.52,47.37,521.3,2388.07,8136.42,8.3998,393.0,38.94,23.2977,0
engine036_cyc001,642.95,1592.01,1407.56,553.39,2388.08,9053.52,47.29,521.38,2388.09,8140.18,8.4318,393.0,38.92,23.3887,0
